nodeId,title,version,status,system_job-level,system_location-type,system_employee-class,system_line-of-business,geography,contentUrl,text
79fa79b9-a11e-4527-af19-202f07567615,Why do I have to book travel in the program?,0.13.0,DRAFT,All Job Levels,All Location Types,All Employee Classes,Advertising|Amazon Games|Amazon Video and Studios|Amazon Web Services (AWS)|Devices & Services|General & Administrative|Music & Podcasts/Wondery|Subsidiaries|Worldwide Amazon Stores,Global,https://corex.pxt.amazon.dev/all-content/18e0d124-7b0b-4e16-bd95-b301bbc65393/79fa79b9-a11e-4527-af19-202f07567615/0.13.0/content,"# **Why do I have to book travel in the program?**

Booking within [Amazon Travel & Events](https://w.amazon.com/bin/view/TravelAndEvents/) is required. The program provides safety, cost savings, booking simplicity, sustainability, and service quality benefits that are not available on consumer booking sites.

## **Benefits of booking within Amazon Travel & Events**

- Safety and security: Amazon Travel & Events provide 24/7 emergency support with instant access to your travel details for quick assistance. All bookings are automatically registered for security monitoring and medical assistance worldwide through International SOS.
- Cost savings: Amazon Travel & Events negotiates exclusive discounts with preferred suppliers. You access corporate rates on 400+ airlines, millions of hotel rooms, and car rental agencies that are not available on consumer booking sites.
- Booking simplicity: Access over 400 airlines and millions of hotel rooms through pre-vetted travel suppliers who meet rigorous safety and service standards.
- Sustainability: In line with Amazon's commitment to The Climate Pledge, purposeful travel options such as lower-emission rail and eco-conscious hotels are available. Select sustainable travel options when available.
- Service quality: Pre-screened travel providers meet high standards for reliability and customer care.

## **Before you book**

Review section 3.0 [General Booking Guidelines](https://policy.a2z.com/docs/176324/publication#4ec58a98-347a-e36a-54e0-278512f5781b) in the Global Travel and Expense Policy before booking.
"
8d821dd4-b829-4d69-8a50-50b5f2b9d211,Where Can I Locate My Previously Booked Trips? (Regional),0.2.0,UNPUBLISHED,All Job Levels,All Location Types,All Employee Classes,Advertising|Amazon Games|Amazon Video and Studios|Amazon Web Services (AWS)|Devices & Services|General & Administrative|Music & Podcasts/Wondery|Subsidiaries|Worldwide Amazon Stores,Bahrain|Brazil|China|India|Israel|Japan|Jordan|Kenya|Kuwait|Mauritius|Mexico|Morocco|Saudi Arabia|South Korea|Spain|United Arab Emirates,https://corex.pxt.amazon.dev/all-content/18e0d124-7b0b-4e16-bd95-b301bbc65393/8d821dd4-b829-4d69-8a50-50b5f2b9d211/0.2.0/content,"# **Where can I locate my previously booked trips?**

Select Trips Library from the main menu in the [Self-Service Booking Tool](https://booktravel.corp.amazon.com/) to access current and past trips, including invoices.

## **Archived or missing trips**

If a trip is no longer visible or has been archived, open a request through [Travel RIVER](https://river.amazon.com/?org=GTE) to access your historical booking records.

## P**rovider-managed bookings**

Bookings made directly through travel providers (including rail) must be managed directly with the provider.
"
eb558531-15e7-4030-bed0-72eaa07b6f9c,Why is my booking out of policy?,0.0.0,DRAFT,All Job Levels,All Location Types,All Employee Classes,Advertising|Amazon Games|Amazon Video and Studios|Amazon Web Services (AWS)|Devices & Services|General & Administrative|Music & Podcasts/Wondery|Subsidiaries|Worldwide Amazon Stores,Global,https://corex.pxt.amazon.dev/all-content/18e0d124-7b0b-4e16-bd95-b301bbc65393/eb558531-15e7-4030-bed0-72eaa07b6f9c/0.0.0/content,"# **Why is my booking out of policy?**

The ""Out of Policy"" flag in the [Self-Service Travel Booking Tool](https://booktravel.corp.amazon.com/) helps you identify options that comply with the [Global Travel and Expense Policy](https://policy.a2z.com/docs/176324/publication#1). It does not prevent you from completing your booking.

## **What the Global Travel and Expense Policy considers**

- Lowest Logical Fare in economy with a seat assignment

- Lowest hotel rates

- Preferred car rates for the approved car type

## **Out of Policy vs. Policy Violation**

Out of Policy: Your selection exceeds policy guidelines but may be justified for business reasons

Yes — provide a reason for your selection.

Policy Violation: Your selection violates a hard rule (for example, booking first class). No — the booking cannot be completed.

## **When an out-of-policy booking is justified**

You may proceed with an out-of-policy booking when there is a valid business reason. Examples include:

- A hotel that is out of policy but closer to your business meetings

- An intermediate SUV during inclement weather for safety reasons

Provide a brief reason when prompted. This serves as an audit tool to ensure flexibility while maintaining safety and frugality.
"
36f2d803-57d2-4ed3-b21e-caba8f6a2e34,Where Can I Locate My Previously Booked Trips? (Global Access),0.1.0,DRAFT,All Job Levels,All Location Types,All Employee Classes,Advertising|Amazon Games|Amazon Video and Studios|Amazon Web Services (AWS)|Devices & Services|General & Administrative|Music & Podcasts/Wondery|Subsidiaries|Worldwide Amazon Stores,Argentina|Australia|Austria|Bangladesh|Belgium|Brunei Darussalam|Cambodia|Chile|Colombia|Costa Rica|Croatia|Czechia|Denmark|Estonia|Finland|France|Germany|Greece|Hong Kong|Hungary|Indonesia|Ireland|Italy|Lao People's Democratic Republic|Luxembourg|Malaysia|Mauritius|Morocco|Netherlands|New Zealand|Nigeria|North America|Norway|Pakistan|Peru|Philippines|Poland|Portugal|Puerto Rico|Romania|Serbia|Singapore|Slovakia|Sweden|Switzerland|Taiwan|Thailand|United Kingdom|Uruguay|Viet Nam,https://corex.pxt.amazon.dev/all-content/18e0d124-7b0b-4e16-bd95-b301bbc65393/36f2d803-57d2-4ed3-b21e-caba8f6a2e34/0.1.0/content,"# **Where can I locate my previously booked trips?**

Select Trips from the main menu in the [Self-Service Booking Tool](https://booktravel.corp.amazon.com/) to access current and past trips, including invoices.

Watch this quick video: [Navigating My Trips](https://broadcast.amazon.com/videos/1804201).

## **Archived or missing trips**

If a trip is no longer visible or has been archived, open a request through [Travel RIVER](https://river.amazon.com/?org=GTE) to access your historical booking records.

## P**rovider-managed bookings**

Bookings made directly through travel providers (including rail) must be managed directly with the provider.
"
dbd5222a-4eed-49c9-a87d-54b7edd051ac,What size rental car am I allowed to book?,0.8.0,DRAFT,All Job Levels,All Location Types,All Employee Classes,Advertising|Amazon Games|Amazon Video and Studios|Amazon Web Services (AWS)|Devices & Services|General & Administrative|Music & Podcasts/Wondery|Subsidiaries|Worldwide Amazon Stores,Global,https://corex.pxt.amazon.dev/all-content/18e0d124-7b0b-4e16-bd95-b301bbc65393/dbd5222a-4eed-49c9-a87d-54b7edd051ac/0.8.0/content,"# **What size rental car am I allowed to book?**

Book up to intermediate size vehicles (mini, economy, or compact) through the [Self-Service Travel Booking Tool](https://booktravel.corp.amazon.com/).

Refer to section 6.1 Rental Car [Vehicle Size](https://policy.a2z.com/docs/176324/publication#6) in the Global Travel and Expense Policy.

## **Electric and hybrid vehicles**

Amazon encourages the use of electric or hybrid rental vehicles where available. If the only electric or hybrid vehicles available are standard or full-size, you may book these instead of an intermediate size vehicle.

## **Exceptions for larger vehicles**

Standard, full-size cars, intermediate SUVs, or vans are permitted in the following situations:

- Three (3) or more travelers traveling together and sharing the rental vehicle
- Large work equipment requiring additional cargo space
- Pre-approved medical reasons
- Safety exceptions (for example, AWD/4WD in winter in locations prone to blizzards)

## **Safe driving requirements**

Consider the risks associated with driving, especially outside your home country and after long flights.

### **Driver requirements**

- Hold a driving license suitable for the type of car rented and permitted by local law.
- Be familiar with local driving conditions before renting.

### **Risk management**

- Car rental is not advised unless you are familiar with local conditions.
- Follow [Travel Risk Management](https://w.amazon.com/bin/view/TravelRiskManagement/Home/) (TRM) ground transportation recommendations for elevated risk destinations in TRM advisories.
"
bbbc8609-7cc8-4e90-9edc-cf1009020f63,I need to change my travel plans (Global Access),0.3.0,DRAFT,All Job Levels,All Location Types,All Employee Classes,Advertising|Amazon Games|Amazon Video and Studios|Amazon Web Services (AWS)|Devices & Services|General & Administrative|Music & Podcasts/Wondery|Subsidiaries|Worldwide Amazon Stores,Argentina|Australia|Austria|Belgium|Canada|Chile|Colombia|Costa Rica|Croatia|Czechia|Denmark|Estonia|Finland|France|Germany|Greece|Hong Kong|Hungary|Indonesia|Ireland|Italy|Luxembourg|Malaysia|Mauritius|Morocco|Netherlands|New Zealand|Nigeria|Norway|Peru|Philippines|Poland|Portugal|Romania|Serbia|Singapore|Slovakia|Sweden|Switzerland|Taiwan|Thailand|United Kingdom|United States|Uruguay|Viet Nam,https://corex.pxt.amazon.dev/all-content/18e0d124-7b0b-4e16-bd95-b301bbc65393/bbbc8609-7cc8-4e90-9edc-cf1009020f63/0.3.0/content,"# **I need to change my travel plans**

Use the [Self-Service Travel Booking Tool](https://booktravel.corp.amazon.com/) to cancel or rebook your trip. Self-service supports cancellations and modifications for most bookings.

Refer to section 3.10 [Itinerary Changes and Cancellations](https://policy.a2z.com/docs/176324/publication#3-10) in the Global Travel and Expense Policy.

## **To cancel a flight**

- Log in to the [Self-Service Travel Booking Tool](https://booktravel.corp.amazon.com/).
- Navigate to Trips > Upcoming and select your trip.
- Select Cancel next to the flight.
- Confirm the cancellation twice to complete.

## **To modify a flight**

- Select your segment and select Modify.
- Choose the flight to change.
- Update your details.
- Search for new flights and complete checkout.

Watch this quick video: [Modify Your Flight & Hotel](https://broadcast.amazon.com/videos/1594156).
"
5a67d52f-6b49-48d3-8697-293e322c03c5,What Am I Allowed to Book?,0.9.0,DRAFT,All Job Levels,All Location Types,All Employee Classes,Advertising|Amazon Games|Amazon Video and Studios|Amazon Web Services (AWS)|Devices & Services|General & Administrative|Music & Podcasts/Wondery|Subsidiaries|Worldwide Amazon Stores,Global,https://corex.pxt.amazon.dev/all-content/18e0d124-7b0b-4e16-bd95-b301bbc65393/5a67d52f-6b49-48d3-8697-293e322c03c5/0.9.0/content,"# **What am I allowed to book?**

Travelers are strongly encouraged to book preferred suppliers identified in the [Self-Service Booking Tool](https://booktravel.corp.amazon.com/). Preferred supplier rates typically include flexible terms and conditions and additional benefits.

Refer to section 3.11 [Preferred Suppliers](https://policy.a2z.com/docs/176324/publication#c4c58a98-3505-2b70-3124-861fc6175249) in the Global Travel and Expense Policy.

## **Why book preferred suppliers? **

- Preferred suppliers are vetted for safety, security, and environmental considerations.
- Preferred rates include flexible terms and conditions.
- Loyalty program eligibility (not available in all countries or with all providers)
- Additional traveler benefits are included with preferred supplier bookings.
"
f0093e4c-160e-401a-bacb-f4427b9d0728,What Is the Process for Booking a Seat? (Global Access),1.1.0,DRAFT,All Job Levels,All Location Types,All Employee Classes,Advertising|Amazon Games|Amazon Video and Studios|Amazon Web Services (AWS)|Devices & Services|General & Administrative|Music & Podcasts/Wondery|Subsidiaries|Worldwide Amazon Stores,Argentina|Australia|Austria|Belgium|Chile|Colombia|Costa Rica|Croatia|Czechia|Denmark|Estonia|Finland|France|Germany|Greece|Hong Kong|Hungary|Indonesia|Ireland|Italy|Luxembourg|Malaysia|Mauritius|Morocco|Netherlands|Nigeria|North America|Norway|Peru|Philippines|Poland|Portugal|Puerto Rico|Romania|Serbia|Singapore|Slovakia|Sweden|Switzerland|Taiwan|Thailand|United Kingdom|Uruguay|Viet Nam,https://corex.pxt.amazon.dev/all-content/18e0d124-7b0b-4e16-bd95-b301bbc65393/f0093e4c-160e-401a-bacb-f4427b9d0728/1.1.0/content,"# **What is the process for booking a seat?**

Book the Lowest Logical Fare with a seat assignment and baggage included. The [Self-Service Booking Tool](https://booktravel.corp.amazon.com/) highlights in-policy fares for easy selection.

Refer to section 4.7 [Air Travel Reimbursable Incidentals](https://policy.a2z.com/docs/176324/publication#76c58a98-34c4-136c-3e99-4d007e22b32c) in the Global Travel and Expense Policy.

## **EMEA and APAC travelers: ancillary purchases**

Fares that include a standard seat or baggage may sometimes exceed the Lowest Logical Fare limits in EMEA and APAC regions. If this occurs:

- Purchase the seat or baggage separately as an ancillary item directly with the airline.
- Expense the additional cost separately.
- Save all receipts for any ancillary purchases.

## **How to select a seat when included in your fare**

Seat maps are available during the shopping path only. Use them to compare seat availability across flights before making your selection.

### **During booking**

A seat may be auto-assigned when you select a flight at checkout. You may be able to select a different seat — view the seat map at checkout and choose your preferred seat before completing your booking.

### **After booking**

Change your seat once ticketed by:

- Navigating to Trips > My Trips in the Self-Service Travel Booking Tool
- Using the airline mobile app directly (varies by airline)

Watch this quick video: [How to Change Your Seat](https://broadcast.amazon.com/videos/1656533)
"
48046e91-af74-4c6d-8f0d-b93647a424d4,How Do I Request Medical Accommodation for Travel?,0.1.0,DRAFT,L0|L1|L10|L11|L12|L2|L3|L4|L5|L6|L7|L8|L9,All Location Types,B - Fixed Term Contractor - EU|F - Regular Full Time|H - Regular Part Time - 20 + Hours|I - Intern|J - JV or RC Worker|M - Internal Staffing Solutions|N - Trainee European|P - Apprentice|Q - Field Regular Part Time 20-29|R - Regular Reduced Time 30 + Hrs|S - Seasonal/Short-Term|X - Regular Flex Time - < 20 Hrs,Advertising|Amazon Games|Amazon Pharmacy|Amazon Video and Studios|Amazon Web Services (AWS)|Celeste|Devices & Services|Fabric|General & Administrative|Music & Podcasts/Wondery|One Medical|Shopbop|Subsidiaries|Worldwide Amazon Stores|Zappos,Global,https://corex.pxt.amazon.dev/all-content/18e0d124-7b0b-4e16-bd95-b301bbc65393/48046e91-af74-4c6d-8f0d-b93647a424d4/0.1.0/content,"# **How do I request medical accommodation for travel?**

Contact [Disability and Leave Services](https://w.amazon.com/bin/view/AET/Reyes-org/global-Travel/) (DLS) to request travel accommodations due to a physical or disability-related impairment or limitation.

Refer to section 3.5 [Travelers with Additional Needs](https://policy.a2z.com/docs/176324/publication#dac58a98-3508-3b21-6d99-2fb50bd5db01) in the Global Travel and Expense Policy.

## **Who authorizes travel accommodations?**

Only DLS can authorize travel accommodations. Amazon Travel & Events and your manager cannot authorize accommodation requests.

## **How to request**

Visit the [DLS site](https://w.amazon.com/bin/view/AET/Reyes-org/global-Travel/) for information on the process and requirements. For Candidate or New Hires, contact the [Applicant Candidate Accommodation Team (ACAT)](https://w.amazon.com/bin/view/AET/Reyes-org/DLS-Applicant-Candidate-Accommodation/).
"
e3e46a05-92f7-43b1-81bf-74710b447725,How Do I Set Up My Travel Profile? (Japan),0.0.0,DRAFT,All Job Levels,All Location Types,All Employee Classes,Advertising|Amazon Games|Amazon Video and Studios|Amazon Web Services (AWS)|Devices & Services|General & Administrative|Music & Podcasts/Wondery|Subsidiaries|Worldwide Amazon Stores,Japan,https://corex.pxt.amazon.dev/all-content/18e0d124-7b0b-4e16-bd95-b301bbc65393/e3e46a05-92f7-43b1-81bf-74710b447725/0.0.0/content,"# **How do I set up my Travel Profile?**

You must create a Travel Profile in the [Self-Service Booking Tool](https://booktravel.corp.amazon.com/) before booking business travel. Your Travel Profile securely stores your personal information, passport details, payment method, and travel preferences.

Refer to section 3.4 [Traveler Profiles](https://policy.a2z.com/docs/176324/publication#52c58a98-3509-0d43-4f83-20fcd24c2fec) in the Global Travel and Expense Policy.

## **What your Travel Profile stores**

- Personal information: mobile phone number and date of birth (varies by country)

- Passport details (for international travel)

- Corporate or personal credit card (required to secure hotel reservations)

- Travel preferences and loyalty program numbers (optional)

## **Quick start videos**

[Travel Quick Start Videos (Japan)](https://broadcast.amazon.com/channels/1303/playlists/18326)

## **How to book after profile setup**

- Standard bookings: Log in to the [Self-Service Travel Booking Tool](https://booktravel.corp.amazon.com/) and search for flights, hotels, car rentals, or rail options.
- Last-minute bookings (within 6 hours of departure): Contact a [Travel Counselor](https://w.amazon.com/bin/view/TravelAndEvents/Support/) during business hours. For same-day travel outside the 6-hour window, book online through the [Self-Service Travel Booking Tool](https://booktravel.corp.amazon.com/).
"
