nodeId	title	snippet
79fa79b9-a11e-4527-af19-202f07567615	Why do I have to book travel in the program?	# **Why do I have to book travel in the program?** Booking within [Amazon Travel & Events](https://w.amazon.com/bin/view/TravelAndEvents/) is required. The program provides safety, cost savings, booki
8d821dd4-b829-4d69-8a50-50b5f2b9d211	Where Can I Locate My Previously Booked Trips? (Regional)	# **Where can I locate my previously booked trips?** Select Trips Library from the main menu in the [Self-Service Booking Tool](https://booktravel.corp.amazon.com/) to access current and past trips, i
eb558531-15e7-4030-bed0-72eaa07b6f9c	Why is my booking out of policy?	"# **Why is my booking out of policy?** The ""Out of Policy"" flag in the [Self-Service Travel Booking Tool](https://booktravel.corp.amazon.com/) helps you identify options that comply with the [Global T"
36f2d803-57d2-4ed3-b21e-caba8f6a2e34	Where Can I Locate My Previously Booked Trips? (Global Access)	# **Where can I locate my previously booked trips?** Select Trips from the main menu in the [Self-Service Booking Tool](https://booktravel.corp.amazon.com/) to access current and past trips, including
dbd5222a-4eed-49c9-a87d-54b7edd051ac	What size rental car am I allowed to book?	# **What size rental car am I allowed to book?** Book up to intermediate size vehicles (mini, economy, or compact) through the [Self-Service Travel Booking Tool](https://booktravel.corp.amazon.com/). 
bbbc8609-7cc8-4e90-9edc-cf1009020f63	I need to change my travel plans (Global Access)	# **I need to change my travel plans** Use the [Self-Service Travel Booking Tool](https://booktravel.corp.amazon.com/) to cancel or rebook your trip. Self-service supports cancellations and modificati
5a67d52f-6b49-48d3-8697-293e322c03c5	What Am I Allowed to Book?	# **What am I allowed to book?** Travelers are strongly encouraged to book preferred suppliers identified in the [Self-Service Booking Tool](https://booktravel.corp.amazon.com/). Preferred supplier ra
f0093e4c-160e-401a-bacb-f4427b9d0728	What Is the Process for Booking a Seat? (Global Access)	# **What is the process for booking a seat?** Book the Lowest Logical Fare with a seat assignment and baggage included. The [Self-Service Booking Tool](https://booktravel.corp.amazon.com/) highlights 
48046e91-af74-4c6d-8f0d-b93647a424d4	How Do I Request Medical Accommodation for Travel?	# **How do I request medical accommodation for travel?** Contact [Disability and Leave Services](https://w.amazon.com/bin/view/AET/Reyes-org/global-Travel/) (DLS) to request travel accommodations due 
e3e46a05-92f7-43b1-81bf-74710b447725	How Do I Set Up My Travel Profile? (Japan)	# **How do I set up my Travel Profile?** You must create a Travel Profile in the [Self-Service Booking Tool](https://booktravel.corp.amazon.com/) before booking business travel. Your Travel Profile se
ec0c13bb-da1a-4808-a2a1-42cd3e24c977	How Do I Book Travel For Work at Amazon?	# **How do I book travel for work at Amazon?** Access the [Self-Service Booking Tool](https://booktravel.corp.amazon.com/) to book flights, hotels, car rentals, and rail travel. ## First-time booking 
61598f6d-d0a2-4521-a2a5-fef356e5871f	Can I upgrade my fare using miles?	# **Can I upgrade my fare using miles?** Yes. After booking travel through the [Self-Service Travel Booking Tool](https://booktravel.corp.amazon.com/), you may contact the airline directly to request 
ee381c40-2a21-48a6-b6fa-24d0a2ced64e	How do I report a car accident while traveling for business?	# **How do I report a car accident while traveling for business?** Contact emergency services first if there are injuries or immediate safety concerns. Then visit [Amazon Travel Risk Management](https
ea1d3ee7-fa27-4905-a6eb-d26dac5a676f	Do I need a visa for travel?	# **Do I need a visa for travel?** You must complete a pre-travel immigration assessment through the International Business Travel Guided Experience before traveling internationally. This assessment d
1e6e74ea-4257-47d3-874d-628909348fc3	Am I Allowed to Upgrade My Fare Class? (Global Access)	# Am I Allowed to Upgrade My Fare Class? (Global Access) Yes. Amazon reimburses only the Lowest Logical Fare in economy class. You must pay the difference between the policy-approved fare and the upgr
b9ce83b0-b104-421f-82bd-52202ac1382c	Am I allowed to upgrade my fare class? (Regional)	# **Am I allowed to upgrade my fare class?** (Regional) Yes. Amazon reimburses only the Lowest Logical Fare in economy class. You must pay the difference between the policy-approved fare and the upgra
5bd55d03-9de3-4eb0-9dfd-74e8aad0d472	Can I get permission to upgrade for long-haul flights?	# **Can I get permission to upgrade for long-haul flights?** Yes. Amazon has a defined process for granting cabin upgrade exceptions through the Premium Economy Accommodation (PEA) program. Travelers 
046dc0ed-0bed-4b8f-8de7-817b5b20548e	What Is The Process for Booking a Seat? (Regional)	# **What is the process for booking a seat?** Book the Lowest Logical Fare with a seat assignment and baggage included. The [Self-Service Booking Tool](https://booktravel.corp.amazon.com/) highlights 
a16a43a1-ba36-44bf-a33f-c2470902c267	Can I Combine Work and Personal Travel?	# **Can I combine work and personal travel?** Yes. You can extend business trips to add personal time with line manager approval. Amazon reimburses only the costs associated with the business portion 
d8f9f890-1075-49ac-ad5c-aa98aea89312	Expense Types Table (Emburse)	# Expense Types and Descriptions | **Report Type** | **Category/Drawer** | **Expense Type** | **Countries** | **GL Code** | **Description** | | --- | --- | --- | --- | --- | --- | | General Expenses |
9b75108f-b8fe-4992-b008-4de72433d250	How Do I Set Up My Travel Profile? (Global Access)	# **How do I set up my Travel Profile?** You must create a Travel Profile in the [Self-Service Booking Tool](https://booktravel.corp.amazon.com/) before booking business travel. Your Travel Profile se
1fc1d541-01ed-42b0-b70a-50ac9f095dfe	I need to change my travel plans (Regional)	# **I need to change my travel plans** Use the [Self-Service Travel Booking Tool](https://booktravel.corp.amazon.com/) to cancel or rebook your trip. Self-service supports cancellations and modificati
df856485-44b7-4b7b-be6a-eee5c127d7ac	Can I earn personal miles or loyalty points when traveling for business?	# **Can I earn personal miles or loyalty points when traveling for business?** Yes. You can earn personal loyalty miles and points when traveling for business through the [Self-Service Travel Booking 
12eb2d6b-cbed-4cf6-a989-0486700f2123	Do I Need Rental Car Insurance for Work Travel?	# **Do I need rental car insurance for work travel?** Amazon provides Collision Damage Waiver (CDW) and Liability Damage Waiver (LDW) insurance for business rentals when you book through the [Self-Ser
1066c902-eb00-4a76-a21f-2e3a23cef1cf	How Do I Set Up My Travel Profile? (China)	# **How do I set up my Travel Profile?** You must create a Travel Profile in the [Self-Service Booking Tool](https://booktravel.corp.amazon.com/) before booking business travel. Your Travel Profile se
95bbc7e7-5b89-4a8a-86ef-8900a48c0b33	How do I get technical support for the Self-Service Travel Booking Tool?	# **How do I get technical support for the Self-Service Travel Booking Tool?** Access [Travel RIVER](https://river.amazon.com/?org=GTE) to get support, report an issue, or suggest a feature enhancemen
